장소ID,장소명,도로명주소,장소상세설명,위도,경도,등록일시,수정일시,지번주소,사용여부
858,빌리카,제주특별자치도 제주시 용문로 48,렌트카,33.5041966,126.5014735,2018-07-20,2018-07-20,제주특별자치도 제주시 용담2동 731,y
939,퍼스트70,제주특별자치도 서귀포시 명동로 46 글램블루호텔,호텔,33.2470482,126.5668297,2018-07-29,2018-07-29,제주특별자치도 서귀포시 정방동 182,y
944,라마다 앙코르 이스트,제주특별자치도 서귀포시 서호중로 65 라마다 앙코르 이스트 호텔,호텔,33.2543323,126.5199186,2018-07-30,2018-07-30,제주특별자치도 서귀포시 대륜동 1522-2,y
1248,카페,제주특별자치도 제주시 조천읍 조함해안로 478,카페,33.2407478,126.5459599,2018-09-03,2018-09-03,제주특별자치도 서귀포시 천지동 794-3,y
1255,스마트렌트카,제주특별자치도 제주시 오도11길 19,렌트카,33.4896021,126.4601011,2018-09-03,2018-09-03,제주특별자치도 제주시 이호동 1112-2,y
1200,토끼썸 피크닉 카페,제주특별자치도 제주시 공항로 2,카페,33.521922,126.8988501,2018-08-27,2018-08-27,제주특별자치도 제주시 우도면 연평리 1767,y
1204,구좌상회 카페,제주특별자치도 제주시 공항로 2,카페,33.5562022,126.7927221,2018-08-27,2018-08-27,제주특별자치도 제주시 우도면 연평리 1767,y
1275,호텔 윈스토리,제주특별자치도 서귀포시 중정로 11,호텔,33.2476936,126.5576142,2018-09-09,2018-09-09,제주특별자치도 서귀포시 천지동 318-17,y
1225,애월더선셋,제주특별자치도 제주시 애월읍 일주서로 6111,카페,33.4562242,126.309022,2018-09-01,2018-09-01,제주특별자치도 제주시 애월읍 곽지리 1381,y
1007,호텔 케니스토리,제주특별자치도 서귀포시 중앙로71번길 17 서귀포 가족호텔,호텔,33.2504014,126.559514,2018-08-06,2018-08-06,제주특별자치도 서귀포시 천지동 308-2,y
1142,중문 스테이,제주특별자치도 서귀포시 태평로442번길 9-7,호텔,33.2457374,126.5684544,2018-08-18,2018-08-18,제주특별자치도 서귀포시 정방동 136,y
1346,제주 힐링타운 호텔,제주특별자치도 서귀포시 솔오름로105번길 24,숙박,33.2861486,126.5633724,2018-09-27,2018-09-27,제주특별자치도 서귀포시 영천동 산30-13,y
1352,티라,,호텔,33.44367,126.9192802,2018-09-27,2018-09-27,제주특별자치도 서귀포시 성산읍 고성리 370-5,y
1426,제주원렌트카,제주특별자치도 제주시 용해로 58-7,렌트카,33.5117999,126.5025183,2018-10-13,2018-10-13,제주특별자치도 제주시 용담2동 920-6,y
1441,라마다 앙코르 서귀포 호텔,제주특별자치도 서귀포시 서호중로 55,호텔,33.2543488,126.5191963,2018-10-15,2018-10-15,제주특별자치도 서귀포시 대륜동 1524-7,y
1453,안녕세화씨,제주특별자치도 제주시 세화3길 35,카페,33.5265339,126.8562593,2018-10-17,2018-10-17,제주특별자치도 제주시 구좌읍 세화리 3644-2,y
1454,제이아일랜드카페,제주특별자치도 서귀포시 환해장성로 69,카페,33.3787857,126.879725,2018-10-17,2018-10-17,제주특별자치도 서귀포시 성산읍 신산리 421-1,y
1442,라마다앙코르 제주 성산 호텔,제주특별자치도 서귀포시 동류암로 26,호텔,33.4496791,126.9170966,2018-10-15,2018-10-15,제주특별자치도 서귀포시 성산읍 고성리 298-5,y
1356,자매국수,,식당,33.5080343,126.5323446,2018-09-27,2018-09-27,제주특별자치도 제주시 일도2동 1050-1,y
1390,이에스리조트,제주특별자치도 서귀포시 1100로 506,숙박,33.2845979,126.4561893,2018-10-01,2018-10-01,제주특별자치도 서귀포시 중문동 산107-3,y
1409,케렌시아,,카페,33.2594955,126.6216151,2018-10-05,2018-10-05,제주특별자치도 서귀포시 효돈동 532,y
1410,케렌시아,제주특별자치도 서귀포시 칠십리로658번길 27-18,카페,33.2494372,126.6191268,2018-10-05,2018-10-05,제주특별자치도 서귀포시 효돈동 1305,y
1430,렌트카,,렌트카,33.5118454,126.5027379,2018-10-13,2018-10-13,제주특별자치도 제주시 용담2동 924-16,y
1443,명월 국민학교,제주특별자치도 제주시 명월로 48,카페,33.3887104,126.2648598,2018-10-15,2018-10-15,제주특별자치도 제주시 한림읍 명월리 1734,y
1458,제주하버호텔,제주특별자치도 제주시 임항로 260,숙박,33.5176765,126.5382697,2018-10-17,2018-10-17,제주특별자치도 제주시 건입동 1037-1,y
1459,자매국수 노형점,제주특별자치도 제주시 월랑로4길 6,식당,33.4877899,126.4783773,2018-10-17,2018-10-17,제주특별자치도 제주시 노형동 1279-1,y
1465,마구로쇼쿠도,제주특별자치도 제주시 연삼로 422,식당,33.4961785,126.5362266,2018-10-17,2018-10-17,제주특별자치도 제주시 이도2동 1063-6,y
1549,카페두두,,카페,33.5102376,126.4812444,2018-11-08,2018-11-08,제주특별자치도 제주시 도두동 704-1,y
1688,이루후제,제주특별자치도 서귀포시 하신로 61,식당,33.2596296,126.6302693,2019-06-29,2019-06-29,제주특별자치도 서귀포시 남원읍 하례리 209,y
1660,케니스토리 인 서귀포,제주특별자치도 서귀포시 동문로 46 제일산부인과,호텔,33.2499386,126.564996,2019-06-23,2019-06-23,제주특별자치도 서귀포시 중앙동 270-12,y
1658,클랭블루,제주특별자치도 제주시 한경면 한경해안로 552-22,카페,33.3448782,126.1772664,2019-06-23,2019-06-23,제주특별자치도 제주시 한경면 신창리 1293-1,y
1698,더로맨틱 내 생에 가장 아름다운 날들,,카페,33.4370702,126.6755946,2019-07-03,2019-07-03,제주특별자치도 제주시 조천읍 교래리 464-2,y
1769,하이엔드 제주,제주특별자치도 제주시 애월북서길 56-1,카페,33.4626811,126.3094215,2019-07-13,2019-07-13,제주특별자치도 제주시 애월읍 애월리 2543-5,y
1896,유어카K 1899-3568,제주특별자치도 제주시 서해안로 410,렌트카,33.5008601,126.4787512,2019-07-26,2019-07-26,제주특별자치도 제주시 도두동 1002-1,y
1614,이익새양과자점,제주특별자치도 제주시 명월성로 10-2,카페,33.40782,126.2656602,2018-11-21,2018-11-21,제주특별자치도 제주시 한림읍 동명리 1580-8,y
1867,롯데오토렌트카,제주특별자치도 제주시 용해로 92,렌트카,33.5090346,126.5030555,2019-07-24,2019-07-24,제주특별자치도 제주시 용담2동 855,y
1669,클랭블루,제주특별자치도 제주시 한경면 한경해안로 552-22,카페,33.3448636,126.1772669,2019-06-25,2019-06-25,제주특별자치도 제주시 한경면 신창리 1293-1,y
1797,비스타 케이 호텔 월드컵,제주특별자치도 서귀포시 김정문화로41번길 10-6 비스타케이호텔,숙박,33.2518972,126.5097284,2019-07-16,2019-07-16,제주특별자치도 서귀포시 대륜동 745-1,y
2105,호텔,제주특별자치도 제주시 서부두2길 26 호텔 휘슬,호텔,33.5173175,126.527426,2019-08-14,2019-08-14,제주특별자치도 제주시 건입동 1443-2,y
